City_ID,City,Country,Max Temp,Weather Condition,Lat,Lng,Hotel Name
5,Waingapu,ID,87.67,clear sky,-9.6567,120.2641,Pondok Wisata Elim
7,Bonthe,SL,76.77,moderate rain,7.5264,-12.505,Bonthe Holiday Village
9,Tecoanapa,MX,80.47,clear sky,16.5167,-98.75,Hotel Manglares
12,Itoman,JP,80.62,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
13,Carlagan,PH,81.37,broken clouds,14.975,122.0456,Cabatagan Island
14,Butaritari,KI,83.28,clear sky,3.0707,172.7902,Isles Sunset Lodge
21,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Rikitea,PF,75.54,overcast clouds,-23.1203,-134.9692,People ThankYou
24,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
28,Jutai,BR,77.2,overcast clouds,-5.1833,-68.9,
33,Carutapera,BR,75.36,light rain,-1.195,-46.02,Lidera
35,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
37,Puerto Escondido,MX,80.89,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
48,Hithadhoo,MV,83.68,overcast clouds,-0.6,73.0833,Scoop Guest House
52,Acarau,BR,79.14,broken clouds,-2.8856,-40.12,castelo pizzaria
53,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
56,Sawtell,AU,80.92,overcast clouds,-30.3833,153.1,Island Beach House Sawtell
61,Taoudenni,ML,79.77,overcast clouds,22.6783,-3.9836,
64,Coahuayana,MX,78.15,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
67,Adrar,MR,76.06,overcast clouds,20.5022,-10.0711,
75,Kavieng,PG,85.78,light rain,-2.5744,150.7967,Nusa Island Retreat
76,Samarai,PG,85.24,few clouds,-10.6167,150.6667,Nuli Sapi
83,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
87,Faanui,PF,78.76,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
89,Airai,TL,78.28,overcast clouds,-8.9266,125.4092,Juvinal Martin
95,Tubuala,PA,77.32,overcast clouds,9.5167,-79.0333,Río Nabagana
