,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Condition
0,Nanortalik,60.1432,-45.2371,35.17,82,88,8.19,GL,overcast clouds
1,Arraial Do Cabo,-22.9661,-42.0278,68.92,89,100,17.52,BR,overcast clouds
2,College,64.8569,-147.8028,19.72,90,90,4.61,US,overcast clouds
3,Norman Wells,65.282,-126.8329,24.84,93,90,2.3,CA,light snow
4,Ribeira Grande,38.5167,-28.7,69.53,90,81,13.73,PT,broken clouds
5,Waingapu,-9.6567,120.2641,87.67,62,3,8.12,ID,clear sky
6,Kodiak,57.79,-152.4072,44.28,81,90,17.27,US,moderate rain
7,Bonthe,7.5264,-12.505,76.77,87,100,7.16,SL,moderate rain
8,Hobart,-42.8794,147.3294,55.26,62,75,1.01,AU,broken clouds
9,Tecoanapa,16.5167,-98.75,80.47,82,6,6.71,MX,clear sky
10,Namikupa,-10.8333,39.6,66.56,93,80,2.35,TZ,broken clouds
11,East London,-33.0153,27.9116,63.59,67,4,14.7,ZA,clear sky
12,Itoman,26.1247,127.6694,80.62,57,75,4.61,JP,broken clouds
13,Carlagan,14.975,122.0456,81.37,76,83,15.86,PH,broken clouds
14,Butaritari,3.0707,172.7902,83.28,68,4,16.2,KI,clear sky
15,Ushuaia,-54.8,-68.3,42.46,56,20,24.16,AR,few clouds
16,Puerto Ayora,-0.7393,-90.3518,69.69,91,73,8.55,EC,broken clouds
17,Atherton,53.5237,-2.4935,51.3,87,100,8.01,GB,overcast clouds
18,Qaanaaq,77.484,-69.3632,13.03,65,99,8.77,GL,overcast clouds
19,Busselton,-33.65,115.3333,63.05,54,6,5.7,AU,clear sky
20,Albany,42.6001,-73.9662,48.61,76,90,3.0,US,overcast clouds
21,Kapaa,22.0752,-159.319,80.58,83,20,3.0,US,few clouds
22,Rikitea,-23.1203,-134.9692,75.54,81,100,15.68,PF,overcast clouds
23,Chuy,-33.6971,-53.4616,64.36,90,24,12.08,UY,few clouds
24,Kahului,20.8947,-156.47,84.22,68,20,16.11,US,few clouds
25,Juneau,58.3019,-134.4197,43.21,93,75,5.75,US,light rain
26,Aklavik,68.2191,-135.0107,25.63,98,85,3.87,CA,overcast clouds
27,Ancud,-41.8697,-73.8203,45.93,84,13,8.88,CL,few clouds
28,Jutai,-5.1833,-68.9,77.2,79,89,1.23,BR,overcast clouds
29,Kaeo,-35.1,173.7833,70.32,78,100,11.61,NZ,overcast clouds
30,Maniitsoq,65.4167,-52.9,32.49,80,100,13.18,GL,overcast clouds
31,Codrington,-38.2667,141.9667,56.53,61,30,17.11,AU,scattered clouds
32,La Ronge,55.1001,-105.2842,37.62,48,20,5.75,CA,few clouds
33,Carutapera,-1.195,-46.02,75.36,91,86,5.19,BR,light rain
34,Hermanus,-34.4187,19.2345,58.89,86,68,0.56,ZA,broken clouds
35,Acapulco,16.8634,-99.8901,84.02,79,20,4.61,MX,few clouds
36,Cacequi,-29.8836,-54.825,68.83,78,0,12.91,BR,clear sky
37,Puerto Escondido,15.85,-97.0667,80.89,84,54,3.62,MX,broken clouds
38,Jiaonan,35.8786,119.9753,59.02,55,0,5.95,CN,clear sky
39,Yellowknife,62.456,-114.3525,32.41,94,40,10.36,CA,scattered clouds
40,Lebu,-37.6167,-73.65,54.07,88,85,18.32,CL,overcast clouds
41,Vaini,-21.2,-175.2,71.76,94,75,10.36,TO,broken clouds
42,Carthage,36.8611,10.3316,60.33,88,20,2.3,TN,few clouds
43,Bredasdorp,-34.5322,20.0403,58.32,88,100,5.75,ZA,overcast clouds
44,Nikolskoye,59.7035,30.7861,49.01,92,52,8.59,RU,broken clouds
45,Dikson,73.5069,80.5464,6.49,89,100,16.04,RU,overcast clouds
46,Naryan-Mar,67.6713,53.087,15.6,81,100,10.11,RU,overcast clouds
47,Bluff,-46.6,168.3333,63.18,65,90,5.46,NZ,overcast clouds
48,Hithadhoo,-0.6,73.0833,83.68,71,99,14.85,MV,overcast clouds
49,Egvekinot,66.3167,-179.1667,-0.11,92,94,3.53,RU,overcast clouds
50,Cape Town,-33.9258,18.4232,63.09,83,75,1.99,ZA,broken clouds
51,San Jeronimo,-11.9472,-75.2829,51.8,74,51,3.36,PE,broken clouds
52,Acarau,-2.8856,-40.12,79.14,78,61,7.27,BR,broken clouds
53,Avarua,-21.2078,-159.775,77.05,65,75,10.36,CK,broken clouds
54,Aljezur,37.3191,-8.8033,68.49,93,100,18.79,PT,overcast clouds
55,Port Elizabeth,-33.918,25.5701,62.1,82,75,16.11,ZA,broken clouds
56,Sawtell,-30.3833,153.1,80.92,71,90,13.8,AU,overcast clouds
57,Lamar,33.6668,-95.5836,58.35,69,1,5.75,US,clear sky
58,Saint-Philippe,-21.3585,55.7679,69.48,82,55,8.25,RE,broken clouds
59,Punta Arenas,-53.15,-70.9167,44.11,65,3,8.61,CL,clear sky
60,Bokovskaya,49.229,41.8306,39.09,82,1,0.51,RU,clear sky
61,Taoudenni,22.6783,-3.9836,79.77,17,87,8.37,ML,overcast clouds
62,Laguna,38.421,-121.4238,73.24,75,1,3.44,US,clear sky
63,Khandbari,27.3747,87.2039,65.21,69,24,0.4,NP,few clouds
64,Coahuayana,18.7333,-103.6833,78.15,89,39,0.69,MX,scattered clouds
65,Barrow,71.2906,-156.7887,-0.38,78,1,10.36,US,clear sky
66,Mataura,-46.1927,168.8643,74.5,38,57,5.01,NZ,broken clouds
67,Adrar,20.5022,-10.0711,76.06,23,100,8.52,MR,overcast clouds
68,Bambous Virieux,-20.3428,57.7575,71.85,94,75,3.44,MU,broken clouds
69,Znamenka,52.4167,41.4311,38.19,89,44,7.38,RU,scattered clouds
70,Mahebourg,-20.4081,57.7,71.89,94,75,3.44,MU,broken clouds
71,Harlingen,26.1906,-97.6961,73.06,34,1,4.61,US,clear sky
72,Durban,-29.8579,31.0292,68.92,95,66,10.0,ZA,broken clouds
73,Tiksi,71.6872,128.8694,0.27,95,100,7.74,RU,overcast clouds
74,Ponta Do Sol,32.6667,-17.1,70.72,71,31,8.88,PT,scattered clouds
75,Kavieng,-2.5744,150.7967,85.78,67,86,8.03,PG,light rain
76,Samarai,-10.6167,150.6667,85.24,73,11,12.44,PG,few clouds
77,Ust-Kuyga,70.0167,135.6,7.21,97,100,3.13,RU,overcast clouds
78,Lavrentiya,65.5833,-171.0,16.86,80,100,5.5,RU,overcast clouds
79,Pisco,-13.7,-76.2167,62.65,82,0,14.97,PE,clear sky
80,Zhob,31.3411,69.4481,54.93,29,0,4.12,PK,clear sky
81,Castro,-24.7911,-50.0119,60.58,93,97,10.0,BR,light rain
82,Pistsovo,57.179,40.5298,45.7,92,100,12.1,RU,overcast clouds
83,Alofi,-19.0595,-169.9187,82.29,47,100,17.27,NU,overcast clouds
84,Nyurba,63.2842,118.3319,11.93,86,19,3.38,RU,few clouds
85,Monte Patria,-30.6919,-70.9467,67.69,54,0,1.32,CL,clear sky
86,Ahipara,-35.1667,173.1667,63.66,81,100,14.05,NZ,overcast clouds
87,Faanui,-16.4833,-151.75,78.76,74,11,16.44,PF,few clouds
88,Clyde River,70.4692,-68.5914,26.02,95,100,4.09,CA,overcast clouds
89,Airai,-8.9266,125.4092,78.28,42,97,1.68,TL,overcast clouds
90,Lompoc,34.6391,-120.4579,71.78,94,75,10.36,US,mist
91,Namibe,-15.1961,12.1522,65.88,85,57,2.73,AO,broken clouds
92,Viedma,-40.8135,-62.9967,68.9,80,100,22.57,AR,light rain
